date, min_price, max_price
1402/03/03, 3351, 3500
1402/03/02, 3350, 3484
1402/03/01, 3283, 3503
1402/02/31, 3210, 3420
1402/02/30, 3210, 3368
1402/02/27, 3184, 3339
1402/02/25, 3331, 3629
1402/02/24, 3463, 3639
1402/02/23, 3543, 3543
1402/02/19, 3729, 3729
1402/02/18, 3826, 3826
1402/02/17, 3989, 4300
1402/02/16, 4060, 4230
1402/02/13, 3882, 4059
1402/02/12, 3798, 3994
1402/02/11, 3686, 3990
1402/02/10, 3700, 3845
1402/02/09, 3605, 3750
1402/02/06, 3549, 3730
1402/02/05, 3600, 3771
1402/02/04, 3540, 3594
1402/01/30, 3300, 3522
1402/01/29, 3300, 3479
1402/01/28, 3234, 3480
1402/01/27, 3351, 3490
1402/01/26, 3391, 3550
1402/01/22, 3186, 3470
1402/01/21, 3181, 3499
1402/01/20, 3150, 3348
1402/01/19, 3063, 3197
1402/01/16, 2880, 3130
1402/01/15, 2900, 3120
1402/01/14, 2902, 3022
1402/01/09, 2790, 2942
1402/01/08, 2715, 2899
1402/01/07, 2686, 2864
1402/01/06, 2765, 2900
1402/01/05, 2814, 2990
1401/12/28, 2820, 2917
1401/12/27, 2701, 2783
1401/12/24, 2561, 2691
1401/12/23, 2500, 2625
1401/12/22, 2520, 2672
1401/12/21, 2539, 2660
1401/12/20, 2588, 2730
1401/12/16, 2600, 2750
1401/12/15, 2635, 2799
1401/12/14, 2679, 2849
1401/12/13, 2560, 2736
1401/12/10, 2533, 2612
1401/12/09, 2330, 2491
1401/12/08, 2318, 2470
1401/12/07, 2290, 2483
1401/12/06, 2290, 2388
1401/12/03, 2225, 2320
1401/12/02, 2233, 2370
1401/12/01, 2200, 2319
1401/11/30, 2200, 2270
1401/11/26, 2212, 2294
1401/11/25, 2201, 2298
1401/11/24, 2220, 2338
1401/11/23, 2190, 2300
1401/11/19, 2200, 2280
1401/11/18, 2250, 2329
1401/11/17, 2171, 2340
1401/11/16, 2125, 2329
1401/11/12, 2130, 2224
1401/11/11, 2030, 2145
1401/11/10, 2026, 2104
1401/11/09, 2105, 2222
1401/11/08, 2150, 2270
1401/11/05, 2140, 2290
1401/11/04, 2238, 2360
1401/11/03, 2258, 2492
1401/11/02, 2359, 2540
1401/11/01, 2405, 2515
1401/10/28, 2300, 2420
1401/10/27, 2233, 2379
1401/10/26, 2234, 2327
1401/10/24, 2207, 2259
1401/10/19, 2192, 2294
1401/10/18, 2242, 2420
1401/10/17, 2258, 2373
1401/10/14, 2161, 2325
1401/10/13, 2158, 2270
1401/10/12, 2080, 2194
1401/10/11, 2060, 2185
1401/10/10, 2100, 2196
1401/10/07, 2141, 2234
1401/10/05, 2101, 2190
1401/10/04, 2082, 2195
1401/10/03, 2112, 2228
1401/09/30, 2100, 2222
1401/09/29, 2167, 2265
1401/09/28, 2202, 2330
1401/09/27, 2216, 2400
1401/09/26, 2214, 2354
1401/09/23, 2211, 2245
1401/09/22, 2080, 2158
1401/09/21, 2000, 2059
1401/09/20, 1900, 1966
1401/09/19, 1820, 1887
1401/09/16, 1750, 1802
1401/09/15, 1636, 1737
1401/09/14, 1634, 1675
1401/09/13, 1655, 1689
1401/09/12, 1667, 1733
1401/09/09, 1705, 1741
1401/09/08, 1684, 1739
1401/09/07, 1683, 1758
1401/09/06, 1680, 1769
1401/09/05, 1704, 1780
1401/09/02, 1713, 1790
1401/09/01, 1660, 1728
1401/08/30, 1621, 1678
1401/08/29, 1611, 1672
1401/08/28, 1613, 1676
1401/08/25, 1580, 1680
1401/08/24, 1611, 1678
1401/08/23, 1620, 1700
1401/08/22, 1555, 1660
1401/08/21, 1569, 1621
1401/08/18, 1520, 1610
1401/08/17, 1521, 1670
1401/08/16, 1537, 1609
1401/08/15, 1501, 1579
1401/08/14, 1472, 1550
1401/08/11, 1470, 1530
1401/08/10, 1490, 1533
1401/08/09, 1440, 1536
1401/08/08, 1471, 1500
1401/08/07, 1502, 1570
1401/08/04, 1541, 1600
1401/08/03, 1575, 1629
1401/08/02, 1580, 1630
1401/08/01, 1635, 1673
1401/07/30, 1630, 1715
1401/07/27, 1658, 1720
1401/07/26, 1633, 1695
1401/07/25, 1620, 1685
1401/07/24, 1640, 1723
1401/07/23, 1676, 1759
1401/07/20, 1681, 1739
1401/07/19, 1661, 1719
1401/07/18, 1622, 1700
1401/07/17, 1620, 1684
1401/07/16, 1672, 1748
1401/07/12, 1648, 1738
1401/07/11, 1658, 1743
1401/07/10, 1653, 1758
1401/07/09, 1652, 1745
1401/07/06, 1734, 1788
1401/07/04, 1629, 1759
1401/07/02, 1657, 1700
1401/06/30, 1728, 1796
1401/06/29, 1766, 1843
1401/06/28, 1806, 1891
1401/06/27, 1847, 1920
1401/06/23, 1918, 1985
1401/06/22, 1943, 2011
1401/06/21, 1965, 1965
1401/06/20, 1722, 1892
1401/06/19, 1788, 1852
1401/06/16, 1832, 1914
1401/06/15, 1860, 1920
1401/06/14, 1891, 1948
1401/06/13, 1823, 1970
1401/06/12, 1879, 1960
1401/06/09, 1851, 1970
1401/06/08, 1842, 1923
1401/06/07, 1844, 1909
1401/06/06, 1789, 1863
1401/06/05, 1811, 1895
1401/06/02, 1762, 1833
1401/06/01, 1721, 1770
1401/05/31, 1706, 1768
1401/05/30, 1697, 1760
1401/05/29, 1700, 1755
1401/05/26, 1711, 1810
1401/05/25, 1696, 1787
1401/05/24, 1683, 1748
1401/05/23, 1679, 1770
1401/05/22, 1731, 1780
1401/05/19, 1722, 1768
1401/05/18, 1704, 1770
1401/05/15, 1679, 1745
1401/05/12, 1660, 1749
1401/05/11, 1639, 1735
1401/05/10, 1634, 1725
1401/05/09, 1626, 1673
1401/05/08, 1658, 1715
1401/05/05, 1700, 1744
1401/05/04, 1695, 1778
1401/05/03, 1739, 1811
1401/05/02, 1780, 1850
1401/05/01, 1815, 1892
1401/04/29, 1800, 1899
1401/04/28, 1802, 1876
1401/04/26, 1800, 1869
1401/04/25, 1835, 1940
1401/04/22, 1860, 1974
1401/04/21, 1925, 1955
1401/04/20, 1992, 2085
1401/04/18, 2055, 2200
1401/04/15, 2100, 2197
1401/04/14, 2133, 2280
1401/04/13, 2190, 2280
1401/04/12, 2080, 2243
1401/04/11, 2083, 2167
1401/04/08, 2044, 2174
1401/04/07, 2007, 2170
1401/04/06, 2040, 2146
1401/04/05, 2085, 2159
1401/04/04, 2081, 2199
1401/04/01, 2110, 2200
1401/03/31, 2194, 2244
1401/03/30, 2250, 2381
1401/03/29, 2322, 2429
1401/03/28, 2351, 2444
1401/03/25, 2270, 2440
1401/03/24, 2171, 2362
1401/03/23, 2145, 2283
1401/03/22, 2062, 2240
1401/03/21, 2120, 2270
1401/03/18, 2180, 2280
1401/03/17, 2215, 2340
1401/03/16, 2280, 2380
1401/03/11, 2310, 2459
1401/03/10, 2241, 2395
1401/03/09, 2240, 2334
1401/03/08, 2232, 2370
1401/03/07, 2317, 2466
1401/03/04, 2380, 2499
1401/03/03, 2260, 2422
1401/03/02, 2280, 2485
1401/03/01, 2371, 2485
1401/02/31, 2251, 2444
1401/02/28, 2350, 2462
1401/02/27, 2462, 2525
1401/02/24, 2532, 2592
1401/02/21, 2392, 2483
1401/02/20, 2251, 2423
1401/02/19, 2300, 2400
1401/02/18, 2320, 2420
1401/02/17, 2331, 2480
1401/02/12, 2356, 2446
1401/02/11, 2246, 2356
1401/02/10, 2155, 2273
1401/02/07, 2103, 2199
1401/02/06, 2135, 2188
1401/02/05, 2132, 2200
1401/02/04, 2136, 2220
1401/01/31, 2110, 2180
1401/01/30, 2058, 2174
1401/01/29, 2097, 2187
1401/01/28, 2062, 2139
1401/01/27, 2000, 2106
1401/01/24, 1962, 2083
1401/01/23, 2029, 2110
1401/01/22, 2095, 2197
1401/01/21, 1990, 2198
1401/01/20, 1990, 2131
1401/01/17, 1957, 2076
1401/01/16, 1962, 2080
1401/01/15, 1978, 2117
1401/01/14, 2046, 2109
1401/01/10, 2022, 2140
1401/01/09, 2054, 2185
1401/01/08, 2023, 2098
1401/01/07, 1951, 2048
1401/01/06, 1930, 2066
1400/12/28, 1900, 2070
1400/12/25, 1970, 2050
1400/12/24, 1901, 1990
1400/12/23, 1797, 1919
1400/12/22, 1785, 1855
1400/12/21, 1776, 1849
1400/12/18, 1800, 1889
1400/12/17, 1725, 1819
1400/12/16, 1770, 1878
1400/12/15, 1771, 1839
1400/12/14, 1800, 1889
1400/12/11, 1800, 1936
1400/12/09, 1745, 1880
1400/12/08, 1735, 1820
1400/12/07, 1749, 1878
1400/12/04, 1766, 1850
1400/12/03, 1741, 1867
1400/12/02, 1721, 1830
1400/12/01, 1720, 1794
1400/11/30, 1760, 1865
1400/11/27, 1716, 1785
1400/11/25, 1668, 1730
1400/11/24, 1656, 1704
1400/11/23, 1670, 1724
1400/11/20, 1645, 1713
1400/11/19, 1668, 1718
1400/11/18, 1640, 1700
1400/11/17, 1667, 1763
1400/11/16, 1713, 1783
1400/11/13, 1760, 1780
1400/11/12, 1722, 1816
1400/11/11, 1701, 1820
1400/11/10, 1700, 1820
1400/11/09, 1694, 1776
1400/11/06, 1674, 1830
1400/11/05, 1715, 1816
1400/11/04, 1771, 1809
1400/11/03, 1815, 1850
1400/11/02, 1855, 1984
1400/10/29, 1951, 2000
1400/10/28, 1985, 2053
1400/10/27, 2036, 2150
1400/10/26, 2072, 2186
1400/10/25, 2133, 2250
1400/10/22, 2111, 2199
1400/10/21, 2123, 2225
1400/10/20, 2139, 2290
1400/10/19, 2189, 2310
1400/10/18, 2250, 2387
1400/10/15, 2256, 2392
1400/10/14, 2210, 2327
1400/10/13, 2090, 2240
1400/10/12, 2100, 2166
1400/10/11, 2065, 2169
1400/10/08, 2070, 2195
1400/10/07, 2139, 2139
1400/10/06, 2069, 2069
1400/09/28, 1916, 2100
1400/09/27, 1980, 2075
1400/09/24, 1878, 2040
1400/09/23, 1951, 2000
1400/09/22, 2049, 2100
1400/09/21, 2114, 2275
1400/09/20, 2164, 2338
1400/09/17, 2252, 2350
1400/09/16, 2274, 2450
1400/09/15, 2252, 2470
1400/09/14, 2318, 2318
1400/09/13, 2376, 2477
1400/09/10, 2450, 2657
1400/09/09, 2490, 2700
1400/09/08, 2509, 2688
1400/09/07, 2531, 2700
1400/09/06, 2627, 2790
1400/09/03, 2757, 2900
1400/09/02, 2867, 3043
1400/09/01, 2974, 3087
1400/08/30, 2980, 3127
1400/08/29, 2765, 3054
1400/08/26, 2861, 2999
1400/08/25, 2855, 2997
1400/08/24, 2889, 3106
1400/08/23, 2981, 3119
1400/08/22, 2960, 3150
1400/08/19, 2930, 3178
1400/08/18, 2980, 3170
1400/08/17, 2919, 3190
1400/08/16, 3040, 3220
1400/08/15, 3110, 3270
1400/08/12, 3050, 3220
1400/08/11, 2932, 3134
1400/08/10, 2833, 3038
1400/08/09, 2828, 3110
1400/08/08, 2890, 3047
1400/08/05, 2840, 2933
1400/08/04, 2720, 2840
1400/08/03, 2728, 2871
1400/08/01, 2820, 3050
1400/07/28, 2930, 3084
1400/07/27, 2830, 2997
1400/07/26, 2790, 2899
1400/07/25, 2790, 2940
1400/07/24, 2761, 2896
1400/07/21, 2665, 2840
1400/07/20, 2770, 2990
1400/07/19, 2838, 3028
1400/07/18, 2978, 3100
1400/07/17, 3065, 3269
1400/07/14, 3196, 3370
1400/07/12, 3230, 3379
1400/07/11, 3206, 3430
1400/07/10, 3220, 3409
1400/07/07, 3112, 3333
1400/07/06, 3190, 3358
1400/07/04, 3298, 3588
1400/07/03, 3430, 3719
1400/06/31, 3590, 3800
1400/06/30, 3773, 4020
1400/06/29, 3945, 4199
1400/06/28, 3900, 4244
1400/06/27, 3857, 4261
1400/06/24, 4051, 4286
1400/06/23, 4100, 4287
1400/06/22, 4039, 4300
1400/06/21, 4228, 4449
1400/06/20, 4300, 4655
1400/06/17, 4115, 4547
1400/06/16, 4171, 4352
1400/06/15, 4145, 4145
1400/06/14, 3948, 3948
1400/06/13, 3500, 3818
1400/06/10, 3550, 3700
1400/06/09, 3500, 3669
1400/06/08, 3471, 3590
1400/06/07, 3592, 3800
1400/06/06, 3668, 3846
1400/06/03, 3613, 3900
1400/06/02, 3520, 3782
1400/06/01, 3553, 3750
1400/05/31, 3600, 3825
1400/05/24, 3520, 3760
1400/05/23, 3510, 3693
1400/05/20, 3518, 3518
1400/05/19, 3121, 3414
1400/05/18, 3200, 3327
1400/05/17, 3020, 3227
1400/05/16, 3020, 3166
1400/05/13, 2950, 3165
1400/05/12, 2936, 3139
1400/05/11, 2971, 3160
1400/05/10, 3000, 3073
1400/05/09, 2780, 2931
1400/05/06, 2761, 2912
1400/05/05, 2872, 3000
1400/05/04, 2983, 3120
1400/04/28, 3030, 3125
1400/04/27, 3021, 3200
1400/04/26, 3052, 3213
1400/04/23, 3020, 3149
1400/04/22, 3050, 3288
1400/04/21, 3060, 3145
1400/04/20, 2996, 2996
1400/04/19, 2713, 2925
1400/04/16, 2735, 2840
1400/04/15, 2686, 2820
1400/04/14, 2630, 2760
1400/04/13, 2631, 2775
1400/04/12, 2680, 2880
1400/04/09, 2721, 2865
1400/04/08, 2732, 2890
1400/04/07, 2861, 3046
1400/04/06, 2940, 3079
1400/04/05, 2868, 3099
1400/04/02, 3018, 3018
1400/04/01, 3192, 3192
1400/03/31, 3192, 3192
1400/03/30, 3192, 3192
1400/03/29, 3192, 3192
1400/03/26, 3193, 3193
1400/03/25, 3193, 3193
1400/03/24, 3196, 3196
1400/03/23, 3198, 3198
1400/03/22, 3321, 3321
1400/03/19, 3506, 3506
1400/03/18, 3508, 3508
1400/03/17, 3511, 3511
1400/03/12, 3512, 3512
1400/03/11, 3513, 3513
1400/03/10, 3520, 3520
1400/03/09, 3522, 3522
1400/03/08, 3534, 3534
1400/03/05, 3534, 3534
1400/03/04, 3535, 3535
1400/03/03, 3360, 3360
1400/03/02, 3547, 3547
1400/03/01, 3549, 3549
1400/02/29, 3550, 3550
1400/02/28, 3551, 3551
1400/02/27, 3552, 3552
1400/02/26, 3554, 3554
1400/02/25, 3648, 3648
1400/02/22, 3725, 3725
1400/02/21, 3725, 3725
1400/02/20, 3725, 3725
1400/02/19, 3725, 3725
1400/02/18, 3725, 3725
1400/02/15, 3725, 3725
1400/02/13, 3725, 3725
1400/02/12, 3730, 3730
1400/02/11, 3730, 3730
1400/02/08, 3730, 3730
1400/02/07, 3730, 3730
1400/02/06, 3730, 3730
1400/02/05, 3730, 3730
1400/02/04, 3730, 3730
1400/02/01, 3730, 3730
1400/01/31, 3770, 3770
1400/01/30, 3770, 3770
1400/01/29, 3770, 3770
1400/01/28, 3690, 3690
1400/01/25, 3770, 3770
1400/01/24, 3770, 3770
1400/01/23, 3770, 3770
1400/01/22, 3770, 3770
1400/01/21, 3770, 3770
1400/01/18, 3770, 3770
1400/01/17, 3770, 3770
1400/01/16, 3770, 3770
1400/01/15, 3770, 3770
1400/01/14, 3770, 3770
1400/01/11, 3770, 3770
1400/01/10, 3780, 3780
1400/01/08, 3780, 3780
1400/01/07, 3780, 3780
1399/12/27, 3800, 3800
1399/12/26, 3840, 3840
1399/12/25, 3840, 3840
1399/12/24, 3840, 3840
1399/12/23, 3840, 3840
1399/12/20, 3840, 3840
1399/12/19, 3840, 3840
1399/12/18, 3860, 3860
1399/12/17, 3860, 3860
1399/12/16, 3860, 3860
1399/12/13, 3860, 3860
1399/12/12, 3860, 3860
1399/12/11, 3860, 3860
1399/12/10, 3860, 3860
1399/12/09, 3860, 3860
1399/12/06, 3860, 3860
1399/12/05, 3860, 3860
1399/12/04, 3860, 3860
1399/12/03, 3860, 3860
1399/12/02, 3870, 3950
1399/11/29, 3870, 4050
1399/11/28, 3870, 4090
1399/11/27, 3930, 4000
1399/11/26, 3840, 4130
1399/11/25, 3750, 3930
1399/11/21, 3670, 3850
1399/11/20, 3780, 4150
1399/11/19, 3690, 4070
1399/11/18, 3870, 4060
1399/11/15, 4060, 4260
1399/11/14, 3990, 4410
1399/11/13, 4310, 4310
1399/11/12, 4180, 4180
1399/11/11, 4080, 4080
1399/11/08, 4010, 4010
1399/11/07, 3930, 3930
1399/11/06, 3600, 3960
1399/11/05, 3660, 3850
1399/09/30, 47500, 49600
1399/09/29, 44440, 48310
1399/09/26, 44910, 49050
1399/09/25, 45610, 48000
1399/09/24, 47570, 50000
1399/09/23, 48310, 51000
1399/09/22, 47000, 48930
1399/09/19, 43210, 47260
1399/09/18, 44630, 47500
1399/09/17, 46090, 48800
1399/09/16, 45380, 49040
1399/09/15, 46000, 46710
1399/09/12, 42410, 44750
1399/09/11, 42060, 44690
1399/09/10, 43800, 47500
1399/09/09, 45020, 46980
1399/09/08, 43000, 45510
1399/09/05, 41460, 43530
1399/09/04, 40110, 41460
1399/09/03, 39870, 39870
1399/09/02, 38890, 38890
1399/09/01, 37890, 37890
1399/08/28, 35260, 36940
1399/08/27, 34600, 36140
1399/08/26, 33220, 35100
1399/08/25, 34010, 37450
1399/08/24, 35160, 36850
1399/08/19, 33810, 33820
1399/08/18, 33900, 33900
1399/08/17, 34160, 35290
1399/08/14, 34840, 36490
1399/08/12, 35520, 36220
1399/08/11, 36220, 39440
1399/08/10, 36900, 38130
1399/08/07, 35370, 39070
1399/08/06, 35400, 35400
1399/08/05, 35410, 35410
1399/08/03, 35460, 35460
1399/07/30, 35780, 38000
1399/07/29, 36290, 36300
1399/07/28, 37090, 38500
1399/07/27, 37540, 40000
1399/07/23, 39030, 41100
1399/07/22, 39570, 41000
1399/07/21, 40880, 43400
1399/07/20, 41000, 44890
1399/07/19, 41360, 42000
1399/07/16, 42150, 46570
1399/07/15, 43070, 43070
1399/07/14, 44150, 44150
1399/07/13, 44200, 44200
1399/07/12, 44370, 44370
1399/07/09, 44390, 44390
1399/07/08, 44400, 44400
1399/07/07, 44420, 44420
1399/07/06, 44450, 44450
1399/07/05, 44490, 44490
1399/07/02, 44890, 44890
1399/07/01, 44970, 44970
1399/06/31, 44990, 44990
1399/06/30, 45020, 45020
1399/06/29, 45500, 45500
1399/06/26, 46440, 51240
1399/06/25, 48760, 50490
1399/06/24, 48910, 48910
1399/06/23, 48990, 48990
1399/06/22, 50110, 52080
1399/06/19, 52080, 52080
1399/06/18, 52090, 52090
1399/06/17, 52130, 52130
1399/06/16, 54590, 58000
1399/06/15, 55870, 55870
1399/06/12, 57000, 57000
1399/06/11, 58250, 58900
1399/06/10, 58950, 65150
1399/06/05, 58040, 63260
1399/06/04, 60250, 60250
1399/06/03, 62520, 62520
1399/06/02, 63520, 63520
1399/06/01, 66680, 69960
1399/05/29, 68190, 68190
1399/05/28, 71100, 74280
1399/05/27, 74780, 77000
1399/05/22, 79620, 79620
1399/05/21, 71260, 78760
1399/05/20, 70100, 75790
1399/05/19, 71750, 77020
1399/05/15, 73500, 75610
1399/05/14, 69000, 72040
1399/05/13, 64200, 70850
1399/05/12, 64790, 71590
1399/05/11, 67300, 68260
1399/05/08, 66150, 66150
1399/05/07, 64280, 64280
1399/05/06, 61220, 61220
1399/05/05, 55200, 58570
1399/05/04, 56760, 56760
1399/05/01, 54570, 54570
1399/04/31, 49150, 53820
1399/04/30, 49890, 53890
1399/04/29, 52160, 55000
1399/04/28, 52500, 56680
1399/04/25, 51320, 56700
1399/04/24, 53000, 54080
1399/04/23, 47650, 52650
1399/04/22, 48550, 50330
1399/04/21, 47260, 51000
1399/04/18, 46800, 50610
1399/04/17, 46000, 49590
1399/04/16, 44580, 48040
1399/04/15, 45230, 48000
1399/04/14, 47010, 49900
1399/04/11, 47000, 50790
1399/04/10, 46080, 48630
1399/04/09, 46080, 47980
1399/04/08, 47560, 51480
1399/04/07, 49700, 50990
1399/04/04, 48480, 51590
1399/04/03, 48260, 52980
1399/04/02, 50460, 54100
1399/04/01, 52950, 54900
1399/03/31, 53000, 56880
1399/03/27, 53090, 56500
1399/03/26, 52890, 58250
1399/03/25, 52040, 57500
1399/03/24, 54770, 54770
1399/03/21, 52166, 52166
1399/03/20, 48303, 49718
1399/03/19, 43703, 48303
1399/03/18, 42750, 47250
