date, min_price, max_price
1402/02/31, 16960, 17340
1402/02/30, 16800, 17740
1402/02/27, 16310, 17310
1402/02/25, 16070, 16860
1402/02/24, 15370, 16110
1402/02/23, 15040, 15350
1402/02/20, 15500, 16230
1402/02/19, 15290, 16890
1402/02/18, 16090, 16200
1402/02/17, 16910, 17420
1402/02/16, 17510, 18500
1402/02/13, 17600, 18500
1402/02/12, 17650, 18750
1402/02/11, 17390, 18120
1402/02/10, 16760, 17690
1402/02/09, 16460, 17300
1402/02/06, 16400, 16970
1402/02/05, 16300, 17430
1402/02/04, 16230, 17200
1402/01/30, 16400, 17560
1402/01/29, 16160, 16940
1402/01/28, 15850, 16260
1402/01/27, 14870, 15640
1402/01/26, 14810, 15160
1402/01/22, 14200, 15000
1402/01/21, 14490, 15000
1402/01/20, 14870, 15570
1402/01/19, 14920, 14970
1402/01/16, 13710, 14530
1402/01/15, 13410, 14400
1402/01/14, 13650, 13970
1402/01/09, 13850, 14350
1402/01/08, 14050, 14450
1402/01/07, 13800, 14310
1402/01/06, 13700, 14200
1402/01/05, 12940, 13780
1401/12/28, 12520, 13270
1401/12/27, 12240, 12660
1401/12/24, 11450, 12210
1401/12/23, 11430, 11880
1401/12/22, 11330, 11720
1401/12/21, 11550, 11830
1401/12/20, 11630, 12050
1401/12/16, 11560, 12000
1401/12/15, 11530, 11970
1401/12/14, 11610, 12190
1401/12/13, 11810, 12280
1401/12/10, 11780, 12600
1401/12/09, 12020, 12600
1401/12/08, 12310, 12840
1401/12/03, 12500, 13170
1401/12/02, 12710, 13270
1401/12/01, 11860, 12690
1401/11/30, 11920, 12250
1401/11/26, 11800, 12390
1401/11/25, 12320, 13000
1401/11/24, 12500, 13000
1401/11/23, 11470, 12600
1401/11/19, 11470, 12130
1401/11/18, 11780, 12500
1401/11/17, 12010, 12530
1401/11/16, 11610, 12650
1401/11/10, 11330, 12150
1401/11/09, 11430, 12200
1401/11/08, 11150, 12310
1401/11/05, 11250, 12070
1401/11/03, 10380, 10380
1401/11/02, 10000, 10000
1401/11/01, 9530, 9530
1401/10/28, 9180, 9180
1401/09/14, 25630, 26950
1401/09/13, 26000, 26550
1401/09/12, 25520, 27200
1401/09/09, 26510, 27000
1401/09/08, 26450, 27300
1401/09/07, 26400, 26920
1401/09/06, 25810, 26930
1401/09/05, 25200, 25960
1401/09/02, 25210, 26180
1401/09/01, 24940, 26200
1401/08/28, 25330, 26580
1401/08/25, 25150, 25330
1401/08/24, 22870, 24420
1401/08/23, 22850, 24000
1401/08/22, 22610, 24080
1401/08/21, 22700, 23270
1401/08/18, 22600, 23600
1401/08/17, 23360, 24030
1401/08/16, 22510, 23310
1401/08/15, 22190, 22850
1401/08/14, 22250, 22910
1401/08/11, 21810, 22510
1401/08/10, 22050, 22620
1401/08/04, 21410, 22340
1401/08/03, 21950, 22450
1401/08/02, 22000, 22790
1401/08/01, 21910, 23100
1401/07/30, 21760, 22880
1401/07/27, 22500, 22650
1401/07/26, 22210, 22850
1401/07/25, 21970, 22700
1401/07/24, 21970, 23150
1401/07/23, 22010, 23010
1401/07/20, 21780, 23240
1401/07/19, 22450, 23000
1401/07/18, 21700, 23100
1401/07/17, 21750, 22350
1401/07/16, 21900, 22500
1401/07/12, 22030, 22640
1401/07/11, 21920, 22550
1401/07/10, 21930, 22550
1401/07/09, 22440, 22800
1401/07/06, 22400, 23450
1401/07/04, 21900, 22500
1401/07/02, 21780, 22550
1401/06/30, 22450, 23110
1401/06/29, 22760, 23000
1401/06/28, 22660, 23240
1401/06/27, 22520, 23380
1401/06/23, 22900, 23500
1401/06/22, 23000, 23440
1401/06/21, 22950, 23390
1401/06/20, 23000, 23480
1401/06/19, 23140, 23500
1401/06/16, 23120, 23670
1401/06/15, 23180, 23830
1401/06/14, 23390, 24400
1401/06/13, 23100, 23770
1401/06/12, 23010, 23760
1401/06/09, 23200, 23820
1401/06/08, 23310, 23880
1401/06/07, 22960, 23600
1401/06/06, 23200, 23890
1401/06/05, 23310, 23770
1401/06/02, 23030, 23620
1401/06/01, 23010, 23580
1401/05/31, 22800, 23500
1401/05/30, 22810, 23470
1401/05/29, 22700, 23660
1401/05/26, 22360, 23180
1401/05/25, 22500, 23290
1401/05/24, 22670, 23010
1401/05/23, 22900, 23570
1401/05/22, 22610, 23670
1401/05/19, 22710, 23360
1401/05/18, 22320, 23430
1401/05/15, 22500, 23180
1401/05/12, 22250, 22850
1401/05/11, 21700, 22540
1401/05/10, 21450, 22490
1401/05/09, 21000, 21700
1401/05/08, 21300, 21920
1401/05/05, 20420, 22070
1401/04/13, 23530, 24920
1401/04/12, 23900, 24440
1401/04/11, 23010, 24580
1401/04/08, 23210, 23820
1401/04/07, 23300, 23990
1401/04/06, 23100, 23760
1401/04/05, 22610, 23420
1401/04/04, 23300, 24000
1401/04/01, 23550, 24550
1401/03/31, 24200, 24950
1401/03/30, 24610, 25100
1401/03/29, 23950, 25230
1401/03/28, 23760, 24300
1401/03/25, 23440, 25040
1401/03/24, 23700, 24200
1401/03/23, 23330, 24430
1401/03/22, 23120, 23970
1401/03/21, 23230, 23870
1401/03/18, 23200, 24250
1401/03/17, 23070, 24230
1401/03/16, 23750, 25000
1401/03/11, 24400, 25980
1401/03/10, 24410, 25150
1401/03/09, 24460, 25430
1401/03/08, 24070, 25130
1401/03/07, 24560, 25710
1401/03/04, 24710, 25560
1401/03/03, 24710, 25700
1401/03/02, 25270, 27150
1401/03/01, 26000, 27000
1401/02/31, 26800, 27730
1401/02/28, 26750, 27370
1401/02/27, 26500, 27200
1401/02/26, 27000, 27800
1401/02/25, 26900, 28490
1401/02/24, 27210, 27930
1401/02/21, 26700, 27770
1401/02/20, 26310, 27480
1401/02/19, 26500, 27790
1401/02/18, 26740, 28100
1401/02/17, 27350, 28690
1401/02/12, 26310, 27890
1401/02/11, 26260, 27000
1401/02/10, 26400, 27100
1401/02/07, 26100, 27170
1401/02/06, 25230, 26200
1401/02/05, 24620, 25600
1401/02/04, 23830, 24810
1401/01/31, 23600, 24300
1401/01/30, 23340, 23600
1401/01/29, 23460, 24080
1401/01/28, 22820, 23500
1401/01/27, 22810, 23470
1401/01/24, 22800, 23440
1401/01/23, 23000, 23270
1401/01/22, 22800, 23390
1401/01/21, 23050, 23490
1401/01/20, 22700, 23370
1401/01/17, 22210, 23900
1401/01/16, 22600, 23470
1401/01/15, 23030, 23890
1401/01/14, 22350, 23410
1401/01/10, 21690, 22750
1401/01/09, 21670, 21670
1401/01/08, 20470, 20800
1401/01/07, 19770, 20430
1401/01/06, 19740, 20280
1400/12/28, 19500, 20380
1400/12/25, 19520, 20080
1400/12/24, 19500, 20000
1400/12/23, 19310, 19830
1400/12/22, 19310, 19720
1400/12/21, 19000, 19760
1400/12/18, 19540, 20190
1400/12/17, 19600, 20090
1400/12/16, 20180, 20580
1400/12/15, 19000, 20170
1400/12/14, 19100, 19590
1400/12/11, 19020, 19530
1400/12/09, 19030, 19500
1400/12/08, 19010, 19450
1400/12/07, 19000, 19550
1400/12/04, 18900, 19350
1400/12/03, 19000, 19490
1400/12/02, 18600, 19410
1400/12/01, 18670, 19400
1400/11/30, 18480, 19990
1400/11/27, 18800, 19340
1400/11/25, 18870, 19600
1400/11/24, 19410, 19960
1400/11/23, 19400, 19670
1400/11/20, 19100, 19750
1400/11/19, 19410, 19850
1400/11/18, 19210, 19700
1400/11/17, 19310, 19520
1400/11/16, 19530, 19990
1400/11/13, 19500, 20100
1400/11/12, 19690, 20250
1400/11/11, 19500, 19990
1400/11/10, 19520, 20000
1400/11/09, 19120, 19820
1400/11/06, 18400, 19340
1400/11/05, 18740, 19540
1400/11/04, 19010, 20180
1400/11/03, 19100, 19580
1400/11/02, 19500, 19900
1400/10/29, 19500, 19990
1400/10/28, 19080, 20100
1400/10/27, 19540, 20300
1400/10/26, 19410, 20300
1400/10/25, 20000, 20500
1400/10/22, 19350, 20750
1400/10/21, 19910, 20550
1400/10/20, 19420, 20980
1400/10/19, 19800, 20540
1400/10/18, 19810, 20490
1400/10/15, 20120, 21380
1400/10/14, 20010, 20600
1400/10/13, 20410, 20870
1400/10/12, 20700, 21180
1400/10/11, 20400, 20990
1400/10/08, 20800, 21730
1400/10/07, 20610, 21100
1400/10/06, 20450, 21250
1400/10/05, 20210, 20830
1400/10/04, 20500, 21820
1400/10/01, 19470, 20980
1400/09/30, 19500, 20750
1400/09/29, 19510, 19990
1400/09/28, 19400, 20150
1400/09/27, 19910, 20240
1400/09/24, 19020, 20500
1400/09/23, 19510, 20070
1400/09/22, 19260, 20300
1400/09/21, 19460, 20400
1400/09/20, 20300, 20710
1400/09/17, 20310, 20800
1400/09/16, 20200, 20550
1400/09/15, 20200, 20870
1400/09/14, 20000, 20430
1400/09/13, 19790, 20990
1400/09/10, 20030, 21000
1400/09/09, 20420, 21470
1400/09/08, 19720, 20890
