date, min_price, max_price
1402/03/03, 8210, 8560
1402/03/02, 8300, 8830
1402/03/01, 8500, 8930
1402/02/31, 8100, 8700
1402/02/30, 8100, 8500
1402/02/27, 7580, 8280
1402/02/25, 7400, 8300
1402/02/24, 7390, 7830
1402/02/23, 7260, 7740
1402/02/20, 7600, 8730
1402/02/19, 7810, 8500
1402/02/18, 8340, 8340
1402/02/17, 8910, 9560
1402/02/16, 9310, 10150
1402/02/13, 9170, 9790
1402/02/12, 8760, 9500
1402/02/11, 8770, 9480
1402/02/10, 9050, 9500
1402/02/05, 8620, 9120
1402/02/04, 8260, 8950
1402/01/30, 8240, 8920
1402/01/29, 8150, 8690
1402/01/28, 7930, 8460
1402/01/27, 7940, 8320
1402/01/26, 7690, 7990
1402/01/22, 7580, 7880
1402/01/21, 7560, 8430
1402/01/20, 7610, 8000
1402/01/19, 7650, 7860
1402/01/16, 7100, 7700
1402/01/15, 7090, 7440
1402/01/14, 6960, 7350
1402/01/09, 6930, 7150
1402/01/08, 6950, 7260
1402/01/07, 6800, 7290
1402/01/06, 6960, 7510
1402/01/05, 7340, 7690
1401/12/28, 7270, 7810
1401/12/27, 7070, 7460
1401/12/24, 6450, 7020
1401/12/23, 6390, 6640
1401/12/22, 6550, 6910
1401/12/21, 6550, 6790
1401/12/20, 6580, 7040
1401/12/16, 6700, 7050
1401/12/15, 6750, 6990
1401/12/14, 6810, 7040
1401/12/13, 6690, 7070
1401/12/10, 6760, 7350
1401/12/09, 6970, 7390
1401/12/08, 6840, 7350
1401/12/07, 6970, 7450
1401/12/06, 6450, 6980
1401/12/03, 6400, 6700
1401/12/02, 6440, 6800
1401/12/01, 6010, 6370
1401/11/30, 5770, 6040
1401/11/26, 5750, 5900
1401/11/25, 5690, 5800
1401/11/24, 5730, 5890
1401/11/23, 5700, 5900
1401/11/19, 5760, 5850
1401/11/18, 5720, 6050
1401/11/17, 5710, 5870
1401/11/16, 5710, 5870
1401/11/12, 5710, 5960
1401/11/11, 5720, 5990
1401/11/10, 5460, 5910
1401/11/09, 5640, 5950
1401/11/08, 5930, 6210
1401/11/05, 6010, 6470
1401/11/04, 6260, 6600
1401/11/03, 6300, 6640
1401/11/02, 6220, 6650
1401/11/01, 6110, 6490
1401/10/28, 6110, 6480
1401/10/27, 6180, 6450
1401/10/26, 6200, 6490
1401/10/24, 5530, 6350
1401/10/21, 5820, 6060
1401/10/20, 6040, 6260
1401/10/19, 5990, 6280
1401/10/18, 6000, 6320
1401/10/17, 5880, 6100
1401/10/14, 5720, 5970
1401/10/13, 5880, 6200
1401/10/12, 5740, 5950
1401/10/11, 5510, 5910
1401/10/10, 5720, 5900
1401/10/07, 5800, 6070
1401/10/05, 5660, 5810
1401/09/30, 5440, 5650
1401/09/29, 5410, 5600
1401/09/28, 5420, 5570
1401/09/27, 5380, 5690
1401/09/26, 5400, 5580
1401/09/23, 5420, 5770
1401/09/22, 5360, 5510
1401/09/21, 5110, 5430
1401/09/20, 5100, 5250
1401/09/19, 5060, 5230
1401/09/16, 5054, 5283
1401/09/15, 5150, 5336
1401/09/14, 4910, 5094
1401/09/13, 4735, 4910
1401/09/12, 4731, 4943
1401/09/09, 4750, 4891
1401/09/08, 4860, 4999
1401/09/07, 4861, 5020
1401/09/06, 4890, 5020
1401/09/05, 4821, 5000
1401/09/02, 4930, 5040
1401/09/01, 4900, 5040
1401/08/30, 4950, 5100
1401/08/29, 4980, 5120
1401/08/28, 4890, 5200
1401/08/25, 4890, 5180
1401/08/24, 4920, 5100
1401/08/23, 4880, 5130
1401/08/22, 4900, 5150
1401/08/21, 5000, 5100
1401/08/18, 4839, 5142
1401/08/17, 4800, 5100
1401/08/16, 4671, 4938
1401/08/15, 4480, 4790
1401/08/14, 4410, 4635
1401/08/11, 4415, 4415
1401/08/10, 4110, 4339
1401/08/09, 4088, 4250
1401/08/08, 3914, 4116
1401/08/07, 4098, 4350
1401/08/04, 4171, 4404
1401/08/03, 4303, 4418
1401/08/02, 4311, 4496
1401/08/01, 4407, 4531
1401/07/30, 4440, 4559
1401/07/27, 4200, 4480
1401/07/26, 4276, 4521
1401/07/25, 4350, 4466
1401/07/24, 4310, 4430
1401/07/23, 4372, 4580
1401/07/20, 4460, 4578
1401/07/19, 4415, 4577
1401/07/18, 4262, 4540
1401/07/17, 4465, 4700
1401/07/16, 4614, 4952
1401/07/12, 4700, 4851
1401/07/11, 4611, 4890
1401/07/10, 4620, 4820
1401/07/09, 4693, 4991
1401/07/06, 4920, 5050
1401/07/04, 4800, 5010
1401/07/02, 4770, 5020
1401/06/30, 4970, 5080
1401/06/29, 4960, 5090
1401/06/28, 5000, 5100
1401/06/27, 5000, 5140
1401/06/23, 5030, 5120
1401/06/22, 5000, 5110
1401/06/21, 4970, 5090
1401/06/20, 4910, 5140
1401/06/19, 5000, 5170
1401/06/16, 5110, 5200
1401/06/15, 5080, 5200
1401/06/14, 4980, 5170
1401/06/13, 5000, 5140
1401/06/12, 5020, 5200
1401/06/09, 5070, 5200
1401/06/08, 4900, 5200
1401/06/07, 4910, 5090
1401/06/06, 4960, 5140
1401/06/05, 5090, 5240
1401/06/02, 5100, 5280
1401/06/01, 5130, 5300
1401/05/31, 5100, 5380
1401/05/30, 5050, 5230
1401/05/29, 5100, 5260
1401/05/26, 5070, 5380
1401/05/25, 5100, 5270
1401/05/24, 5170, 5300
1401/05/23, 5180, 5310
1401/05/22, 5130, 5290
1401/05/19, 5070, 5200
1401/05/18, 5120, 5300
1401/05/15, 5160, 5330
1401/05/12, 5060, 5300
1401/05/11, 4950, 5140
1401/05/10, 4750, 5000
1401/05/09, 4760, 4960
1401/05/08, 4850, 5080
1401/05/04, 4860, 5070
1401/04/25, 4900, 5120
1401/04/22, 4820, 5100
1401/04/21, 4730, 4980
1401/04/20, 4800, 5100
1401/04/18, 4960, 5170
1401/04/15, 5010, 5200
1401/04/14, 5040, 5190
1401/04/13, 5000, 5230
1401/04/12, 4850, 5110
1401/04/11, 4770, 5100
1401/04/08, 4910, 5119
1401/04/07, 5010, 5136
1401/04/06, 4700, 5040
1401/04/05, 4717, 5000
1401/04/04, 4810, 5080
1401/04/01, 4900, 5130
1401/03/31, 4950, 5150
1401/03/30, 5030, 5270
1401/03/29, 4840, 5130
1401/03/28, 4830, 5140
1401/03/25, 5000, 5280
1401/03/24, 5050, 5446
1401/03/23, 5013, 5410
1401/03/22, 4990, 5341
1401/03/21, 4950, 5158
1401/03/18, 4520, 4954
1401/03/17, 4620, 4890
1401/03/16, 4670, 4980
1401/03/11, 4730, 4890
1401/03/10, 4710, 4920
1401/03/09, 4760, 5020
1401/03/08, 4700, 4960
1401/03/07, 4810, 5110
1401/03/04, 4950, 5150
1401/03/03, 4850, 5110
1401/03/02, 4865, 5193
1401/03/01, 5010, 5248
1401/02/31, 5040, 5160
1401/02/28, 4850, 5190
1401/02/27, 4960, 5170
1401/02/26, 5030, 5280
1401/02/25, 4980, 5310
1401/02/24, 5020, 5450
1401/02/21, 5190, 5439
1401/02/20, 4900, 5300
1401/02/19, 4943, 5240
1401/02/18, 4681, 5070
1401/02/17, 4620, 4854
1401/02/12, 4408, 4701
1401/02/11, 4431, 4590
1401/02/10, 4389, 4600
1401/02/07, 4399, 4580
1401/02/06, 4440, 4780
1401/02/05, 4460, 4660
1401/02/04, 4210, 4544
1401/01/31, 4236, 4441
1401/01/30, 3965, 4251
1401/01/29, 3875, 4260
1401/01/28, 4014, 4134
1401/01/27, 4011, 4212
1401/01/24, 3838, 4148
1401/01/23, 3997, 4268
1401/01/22, 4180, 4275
1401/01/21, 4246, 4432
1401/01/20, 4000, 4268
1401/01/17, 3810, 4078
1401/01/16, 3731, 3960
1401/01/15, 3771, 3990
1401/01/14, 3773, 4000
1401/01/10, 3873, 4029
1401/01/09, 3800, 3881
1401/01/08, 3770, 3830
1401/01/07, 3620, 3761
1401/01/06, 3500, 3700
1400/12/28, 3531, 3684
1400/12/25, 3483, 3592
1400/12/24, 3490, 3610
1400/12/23, 3518, 3600
1400/12/22, 3540, 3699
1400/12/21, 3564, 3770
1400/12/18, 3650, 3810
1400/12/17, 3595, 3800
1400/12/16, 3585, 3700
1400/12/15, 3574, 3760
1400/12/14, 3595, 3897
1400/12/11, 3743, 3950
1400/12/09, 3855, 3981
1400/12/08, 3520, 3854
1400/12/07, 3546, 3794
1400/12/04, 3571, 3742
1400/12/03, 3550, 3689
1400/12/02, 3450, 3638
1400/12/01, 3511, 3599
1400/11/30, 3560, 3700
1400/11/27, 3617, 3810
1400/11/25, 3646, 3800
1400/11/24, 3719, 3846
1400/11/23, 3425, 3720
1400/11/20, 3425, 3560
1400/11/19, 3410, 3650
1400/11/18, 3425, 3539
1400/11/17, 3501, 3630
1400/11/16, 3600, 3790
1400/11/13, 3600, 3749
1400/11/12, 3550, 3749
1400/11/11, 3590, 3780
1400/11/10, 3720, 3888
1400/11/09, 3502, 3824
1400/11/06, 3530, 3700
1400/11/05, 3503, 3700
1400/11/04, 3560, 3780
1400/11/03, 3601, 3750
1400/11/02, 3708, 3850
1400/10/29, 3741, 3850
1400/10/28, 3751, 3881
1400/10/27, 3700, 3850
1400/10/26, 3515, 3881
1400/10/25, 3564, 3763
1400/10/22, 3616, 3748
1400/10/21, 3618, 3900
1400/10/20, 3737, 3900
1400/10/19, 3774, 3999
1400/10/18, 3871, 4049
1400/10/15, 3870, 4047
1400/10/14, 3860, 4069
1400/10/13, 3874, 4139
1400/10/12, 3881, 4070
1400/10/11, 3852, 4000
1400/10/08, 3955, 4140
1400/10/07, 3890, 4069
1400/10/06, 3879, 3959
1400/10/05, 3621, 3880
1400/10/04, 3690, 3785
1400/10/01, 3713, 3713
1400/09/30, 3670, 3671
1400/09/24, 3445, 3548
1400/09/23, 3420, 3540
1400/09/22, 3389, 3526
1400/09/21, 3428, 3550
1400/09/20, 3480, 3700
1400/09/17, 3520, 3700
1400/09/16, 3527, 3655
1400/09/15, 3511, 3700
1400/09/14, 3500, 3638
1400/09/13, 3502, 3720
1400/09/10, 3552, 3710
1400/09/09, 3550, 3700
1400/09/08, 3621, 3775
1400/09/07, 3571, 3785
1400/09/06, 3553, 3794
1400/09/03, 3596, 3796
1400/09/02, 3668, 3813
1400/09/01, 3560, 3847
1400/08/30, 3600, 3759
1400/08/29, 3651, 3860
1400/08/26, 3601, 3800
1400/08/25, 3451, 3720
1400/08/24, 3450, 3690
1400/08/23, 3530, 3740
1400/08/22, 3463, 3690
1400/08/19, 3550, 3708
1400/08/18, 3445, 3655
1400/08/17, 3395, 3680
1400/08/16, 3400, 3699
1400/08/15, 3240, 3580
1400/08/12, 3271, 3421
1400/08/11, 3071, 3325
1400/08/10, 3062, 3328
1400/08/09, 3163, 3350
1400/08/08, 3268, 3534
1400/08/05, 3242, 3526
1400/08/04, 3328, 3510
1400/08/03, 3360, 3600
1400/08/01, 3467, 3635
1400/07/28, 3540, 3800
1400/07/27, 3620, 3921
1400/07/26, 3678, 3815
1400/07/25, 3815, 4140
1400/07/24, 3773, 4035
1400/07/21, 3816, 4014
1400/07/20, 3981, 4299
1400/07/19, 4053, 4261
1400/07/17, 4010, 4269
1400/07/14, 3930, 4264
1400/07/12, 3990, 4199
1400/07/11, 4028, 4239
1400/07/10, 4110, 4275
1400/07/07, 3866, 4172
1400/07/06, 3831, 4020
1400/07/04, 3800, 4085
1400/07/03, 3600, 3952
1400/06/31, 3751, 3920
1400/06/30, 3930, 4080
1400/06/29, 4002, 4239
1400/06/28, 4002, 4280
1400/06/27, 4149, 4480
1400/06/24, 4300, 4480
1400/06/23, 4356, 4490
1400/06/22, 3942, 4356
1400/06/21, 4141, 4300
1400/06/20, 4323, 4510
1400/06/17, 4475, 4750
1400/06/16, 4375, 4835
1400/06/15, 4623, 4623
1400/06/14, 4576, 4576
1400/06/13, 4359, 4359
1400/06/10, 4152, 4152
1400/06/09, 3955, 3955
1400/06/08, 3750, 3937
1400/05/12, 8360, 9100
1400/05/11, 8530, 9080
1400/05/10, 8870, 9200
1400/05/09, 9250, 9730
1400/05/06, 9270, 9920
1400/05/05, 9250, 9850
1400/05/04, 9450, 9900
1400/04/28, 9020, 9800
1400/04/27, 9170, 9990
1400/04/26, 9390, 9670
1400/04/23, 9000, 9400
1400/04/20, 8800, 9340
1400/04/19, 8500, 9150
1400/04/16, 8680, 9120
1400/04/15, 8980, 9440
1400/04/14, 9050, 9470
1400/04/13, 8640, 9070
1400/04/12, 8100, 8900
1400/04/09, 8350, 8750
1400/04/08, 8630, 9000
1400/04/07, 8280, 8690
1400/04/06, 7760, 8500
1400/04/05, 7770, 8370
1400/04/02, 7700, 8170
1400/04/01, 7600, 7920
1400/03/31, 7390, 7720
1400/03/30, 7240, 7800
1400/03/29, 7610, 7790
1400/03/26, 7960, 8260
1400/03/25, 8060, 8610
1400/03/24, 8310, 8870
1400/03/23, 8730, 9050
1400/03/22, 9050, 9700
1400/03/19, 9390, 9990
1400/03/18, 9400, 10340
1400/03/17, 9520, 10080
1400/03/10, 11160, 11160
1400/03/09, 11180, 11180
1400/03/08, 11200, 11200
1400/03/05, 11200, 11200
1400/03/04, 11200, 11200
1400/03/03, 11200, 11200
1400/03/02, 11200, 11200
1400/03/01, 10770, 10770
1400/02/29, 11370, 11370
1400/02/28, 11370, 11370
1400/02/27, 11370, 11370
1400/02/26, 11380, 11380
1400/02/25, 11380, 11380
1400/02/22, 11620, 11620
1400/02/21, 11630, 11630
1400/02/20, 11630, 11630
1400/02/18, 11630, 11630
1400/02/15, 11630, 11630
1400/02/13, 11630, 11630
1400/02/12, 11630, 11630
1400/02/11, 11630, 11630
1400/02/08, 11640, 11640
1400/02/07, 11640, 11640
1400/02/06, 11640, 11640
1400/02/05, 11640, 11640
1400/02/04, 11640, 11640
1400/02/01, 11640, 11640
1400/01/31, 11760, 11760
1400/01/30, 11760, 11760
1400/01/29, 11760, 11760
1400/01/28, 11780, 11780
1400/01/25, 11780, 11780
1400/01/24, 11790, 11790
1400/01/23, 11790, 11790
1400/01/22, 11790, 11790
1400/01/21, 11790, 11790
1400/01/18, 11800, 11800
1400/01/17, 11820, 11820
1400/01/16, 11930, 12080
1400/01/15, 11990, 11990
1400/01/14, 12110, 12190
1400/01/11, 12110, 12880
1400/01/10, 11960, 12440
1400/01/08, 11510, 11970
1400/01/07, 11580, 11940
1399/12/27, 11750, 12300
1399/12/26, 11960, 12200
1399/12/25, 11970, 11970
1399/12/24, 11990, 11990
1399/12/23, 12020, 12020
1399/12/20, 12080, 12290
1399/12/19, 12160, 12620
1399/12/18, 12330, 12690
1399/12/17, 12340, 12340
1399/12/16, 12360, 12400
1399/12/13, 12430, 12500
1399/12/12, 12490, 13090
1399/12/11, 12630, 12880
