date, min_price, max_price
1402/03/03, 6180, 6390
1402/03/02, 6200, 6450
1402/03/01, 6240, 6510
1402/02/31, 5930, 6370
1402/02/30, 5970, 6600
1402/02/27, 6070, 6460
1402/02/25, 5800, 6300
1402/02/24, 5690, 6040
1402/02/23, 5630, 5950
1402/02/20, 5950, 6640
1402/02/19, 6290, 6700
1402/02/18, 6760, 6760
1402/02/17, 7190, 7700
1402/02/16, 7570, 7900
1402/02/13, 7410, 7700
1402/02/12, 7480, 7700
1402/02/11, 7230, 7650
1402/02/10, 7140, 7580
1402/02/09, 6920, 7210
1402/02/06, 6710, 7070
1402/02/05, 6870, 7230
1402/02/04, 6710, 6970
1402/01/30, 6610, 6980
1402/01/29, 6390, 6700
1402/01/28, 6060, 6380
1402/01/27, 6070, 6340
1402/01/26, 6040, 6270
1402/01/22, 5700, 6040
1402/01/21, 5670, 6400
1402/01/20, 5900, 6170
1402/01/19, 5770, 6170
1402/01/16, 5680, 5860
1402/01/15, 5490, 5870
1402/01/14, 5260, 5800
1402/01/09, 5410, 5660
1402/01/08, 5400, 5690
1402/01/07, 5030, 5540
1402/01/06, 5050, 5380
1402/01/05, 5240, 5460
1401/12/28, 5127, 5380
1401/12/27, 5022, 5245
1401/12/24, 4720, 4995
1401/12/23, 4650, 4800
1401/12/22, 4650, 4840
1401/12/21, 4714, 4919
1401/12/20, 4795, 5011
1401/12/16, 4580, 4750
1401/12/15, 4600, 4748
1401/12/14, 4520, 4731
1401/12/13, 4450, 4670
1401/12/10, 4562, 4888
1401/12/09, 4732, 4942
1401/12/08, 4700, 4996
1401/12/07, 4750, 5017
1401/12/06, 4571, 4693
1401/12/03, 4300, 4467
1401/12/02, 4321, 4505
1401/12/01, 3971, 4241
1401/11/30, 3894, 4010
1401/11/26, 3860, 3941
1401/11/25, 3921, 4049
1401/11/24, 3950, 4100
1401/11/23, 3891, 4035
1401/11/19, 4009, 4117
1401/11/18, 3974, 4136
1401/11/17, 3860, 4055
1401/11/16, 3891, 4093
1401/11/12, 3981, 4140
1401/11/11, 4000, 4147
1401/11/10, 3800, 4069
1401/11/09, 3880, 4142
1401/11/08, 4093, 4300
1401/11/05, 4169, 4530
1401/11/04, 4444, 4540
1401/11/03, 4370, 4650
1401/11/02, 4361, 4660
1401/11/01, 4484, 4740
1401/10/28, 4600, 4790
1401/10/27, 4630, 4831
1401/10/26, 4501, 4705
1401/10/24, 4250, 4489
1401/10/21, 4371, 4600
1401/10/20, 4444, 4749
1401/10/19, 4450, 4669
1401/10/18, 4450, 4534
1401/10/17, 4051, 4300
1401/10/14, 3920, 4090
1401/10/13, 3940, 4110
1401/10/12, 3901, 4088
1401/10/11, 3829, 4039
1401/10/10, 3921, 4120
1401/10/07, 4090, 4270
1401/10/05, 3990, 4105
1401/10/04, 4001, 4163
1401/10/03, 3997, 4149
1401/09/30, 3864, 4044
1401/09/29, 3850, 4015
1401/09/28, 3860, 4090
1401/09/27, 3970, 4109
1401/09/26, 3757, 3927
1401/09/23, 3753, 3990
1401/09/22, 3645, 3869
1401/09/21, 3519, 3679
1401/09/20, 3400, 3515
1401/09/19, 3395, 3569
1401/09/16, 3515, 3614
1401/09/15, 3533, 3620
1401/09/14, 3590, 3699
1401/09/13, 3650, 3720
1401/09/12, 3595, 3743
1401/09/09, 3580, 3634
1401/09/08, 3546, 3615
1401/09/07, 3534, 3649
1401/09/06, 3532, 3620
1401/09/05, 3515, 3669
1401/09/02, 3558, 3680
1401/09/01, 3521, 3629
1401/08/30, 3519, 3710
1401/08/29, 3495, 3634
1401/08/28, 3420, 3569
1401/08/25, 3424, 3610
1401/08/24, 3423, 3520
1401/08/23, 3425, 3576
1401/08/22, 3510, 3643
1401/08/21, 3555, 3719
1401/08/18, 3470, 3660
1401/08/17, 3494, 3770
1401/08/16, 3422, 3664
1401/08/15, 3342, 3518
1401/08/14, 3200, 3410
1401/08/11, 3141, 3226
1401/08/10, 3171, 3250
1401/08/09, 3078, 3187
1401/08/08, 3010, 3123
1401/08/07, 3010, 3146
1401/08/04, 3000, 3175
1401/08/03, 3100, 3240
1401/08/02, 3180, 3274
1401/08/01, 3220, 3299
1401/07/30, 3200, 3328
1401/07/27, 3172, 3231
1401/07/26, 3182, 3260
1401/07/25, 3150, 3201
1401/07/24, 3152, 3260
1401/07/23, 3238, 3300
1401/07/20, 3225, 3349
1401/07/19, 3255, 3360
1401/07/18, 3230, 3347
1401/07/17, 3200, 3345
1401/07/16, 3327, 3447
1401/07/12, 3325, 3400
1401/07/06, 3745, 3920
1401/07/04, 3630, 3755
1401/07/02, 3581, 3729
1401/06/30, 3729, 3844
1401/06/29, 3800, 3900
1401/06/28, 3865, 3967
1401/06/27, 3908, 3999
1401/06/23, 4012, 4070
1401/06/22, 3922, 4050
1401/06/21, 3907, 3978
1401/06/20, 3911, 3999
1401/06/19, 3925, 4029
1401/06/16, 3997, 4158
1401/06/15, 4016, 4157
1401/06/14, 3931, 4003
1401/06/13, 3950, 4010
1401/06/12, 3930, 4008
1401/06/09, 4003, 4058
1401/06/08, 3939, 4000
1401/06/07, 3965, 4040
1401/06/06, 3951, 4028
1401/06/05, 3990, 4140
1401/06/02, 3980, 4180
1401/06/01, 3870, 4022
1401/05/31, 3829, 3990
1401/05/30, 3896, 4037
1401/05/29, 3951, 4026
1401/05/26, 4030, 4230
1401/05/25, 4030, 4283
1401/05/24, 4001, 4195
1401/05/23, 4005, 4170
1401/05/22, 3971, 4132
1401/05/19, 3873, 3977
1401/05/18, 3875, 4100
1401/05/15, 3850, 4008
1401/05/12, 3740, 3819
1401/05/11, 3677, 3760
1401/05/10, 3670, 3767
1401/05/09, 3602, 3790
1401/05/08, 3733, 3928
1401/05/05, 3810, 3900
1401/05/04, 3782, 3877
1401/05/03, 3751, 3980
1401/05/02, 3902, 4079
1401/05/01, 4047, 4180
1401/04/29, 3916, 4028
1401/04/28, 3929, 4028
1401/04/26, 3910, 4034
1401/04/25, 3949, 4117
1401/04/22, 4093, 4174
1401/04/21, 3950, 4148
1401/04/20, 3997, 4149
1401/04/18, 4070, 4230
1401/04/15, 4189, 4347
1401/04/14, 4260, 4385
1401/04/13, 4253, 4378
1401/04/12, 4230, 4305
1401/04/11, 4220, 4410
1401/04/08, 4352, 4550
1401/04/07, 4400, 4550
1401/04/06, 4261, 4476
1401/04/05, 4219, 4500
1401/04/04, 4280, 4530
1401/04/01, 4220, 4370
1401/03/31, 4313, 4485
1401/03/30, 4392, 4550
1401/03/29, 4380, 4560
1401/03/28, 4469, 4620
1401/03/25, 4541, 4640
1401/03/24, 4505, 4640
1401/03/23, 4501, 4694
1401/03/22, 4340, 4588
1401/03/21, 4403, 4630
1401/03/18, 4511, 4640
1401/03/17, 4525, 4679
1401/03/16, 4569, 4860
1401/03/11, 4760, 4940
1401/03/10, 4830, 4980
1401/03/09, 4840, 5110
1401/03/08, 4860, 5100
1401/03/07, 5060, 5400
1401/03/04, 5160, 5270
1401/03/03, 4650, 5040
1401/03/02, 4720, 5000
1401/03/01, 4980, 5090
1401/02/31, 4930, 5120
1401/02/28, 4980, 5140
1401/02/27, 5050, 5300
1401/02/26, 5010, 5270
1401/02/25, 4870, 5140
1401/02/24, 5040, 5300
1401/02/21, 5040, 5160
1401/02/20, 4900, 5120
1401/02/19, 4930, 5240
1401/02/18, 5120, 5330
1401/02/17, 5110, 5220
1401/02/12, 5050, 5220
1401/02/11, 5040, 5270
1401/02/10, 5040, 5240
1401/02/07, 5100, 5250
1401/02/06, 5166, 5405
1401/02/05, 4850, 5177
1401/02/04, 4800, 4985
1401/01/31, 4813, 4995
1401/01/30, 4710, 4972
1401/01/29, 4750, 4939
1401/01/28, 4500, 4787
1401/01/27, 4582, 4730
1401/01/24, 4510, 4737
1401/01/23, 4687, 4900
1401/01/22, 4831, 5097
1401/01/21, 4745, 4898
1401/01/20, 4520, 4735
1401/01/17, 4530, 4899
1401/01/16, 4600, 4804
1401/01/15, 4640, 4885
1401/01/14, 4550, 4799
1401/01/10, 4460, 4700
1401/01/09, 4454, 4730
1401/01/08, 4320, 4561
1401/01/07, 4240, 4419
1401/01/06, 4256, 4510
1400/12/28, 4312, 4392
1400/12/25, 4048, 4204
1400/12/24, 3960, 4034
1400/12/23, 3944, 4040
1400/12/22, 3972, 4017
1400/12/21, 3960, 4050
1400/12/18, 4040, 4133
1400/12/17, 4035, 4140
1400/12/16, 4060, 4230
1400/12/15, 3970, 4120
1400/12/14, 3950, 4100
1400/12/11, 3909, 4030
1400/12/09, 3970, 4090
1400/12/08, 3972, 4050
1400/12/07, 3985, 4100
1400/12/04, 4065, 4146
1400/12/03, 4032, 4150
1400/12/02, 4002, 4148
1400/12/01, 3930, 4017
1400/11/30, 3970, 4060
1400/11/27, 3950, 4050
1400/11/25, 3950, 4041
1400/11/24, 3930, 4032
1400/11/23, 4020, 4137
1400/11/20, 4020, 4179
1400/11/19, 3953, 4077
1400/11/18, 3809, 3970
1400/11/17, 3971, 4000
1400/11/16, 4099, 4289
1400/11/13, 4165, 4327
1400/11/12, 4247, 4492
1400/11/11, 4139, 4460
1400/11/10, 4180, 4390
1400/11/09, 4061, 4226
1400/11/06, 3920, 4049
1400/11/05, 3817, 4074
1400/11/04, 3918, 4090
1400/11/03, 3980, 4169
1400/11/02, 4050, 4191
1400/10/29, 3830, 4070
1400/10/28, 3857, 4020
1400/10/27, 4000, 4148
1400/10/26, 3990, 4139
1400/10/25, 4031, 4200
1400/10/22, 4057, 4229
1400/10/21, 4153, 4285
1400/10/20, 4044, 4249
1400/10/19, 4045, 4247
1400/10/18, 4140, 4379
1400/10/15, 4111, 4265
1400/10/14, 4103, 4285
1400/10/13, 4261, 4440
1400/10/12, 4301, 4488
1400/10/11, 4339, 4510
1400/10/08, 4490, 4679
1400/10/07, 4454, 4670
1400/10/06, 4481, 4621
1400/10/05, 4316, 4488
1400/10/04, 4395, 4670
1400/10/01, 4457, 4457
1400/09/30, 4158, 4278
1400/09/29, 3910, 4131
1400/09/28, 3900, 4140
1400/09/27, 4002, 4205
1400/09/24, 3955, 4119
1400/09/23, 3852, 4149
1400/09/22, 3927, 4210
1400/09/21, 4100, 4300
1400/09/20, 4210, 4426
1400/09/17, 4160, 4372
1400/09/16, 4100, 4250
1400/09/15, 4150, 4298
1400/09/14, 4120, 4288
1400/09/13, 4005, 4290
1400/09/10, 4136, 4400
1400/09/09, 4165, 4450
1400/09/08, 4180, 4359
1400/09/07, 4160, 4359
1400/09/06, 4304, 4537
1400/09/03, 4440, 4679
1400/09/02, 4551, 4780
1400/09/01, 4718, 4890
1400/08/30, 4578, 4798
1400/08/29, 4636, 4970
1400/08/26, 4800, 4960
1400/08/25, 4630, 4990
1400/08/24, 4790, 5010
1400/08/23, 4900, 5130
1400/08/22, 4880, 4990
1400/08/19, 5037, 5230
1400/08/18, 4690, 5045
1400/08/17, 4620, 4941
1400/08/16, 4550, 4757
1400/08/15, 4537, 4537
1400/08/12, 4360, 4360
1400/08/11, 4010, 4187
1400/08/10, 3900, 3993
1400/08/09, 3781, 3970
1400/08/08, 3939, 4135
1400/08/05, 4010, 4294
1400/08/04, 4137, 4310
1400/08/03, 4340, 4561
1400/08/01, 4562, 4629
1400/07/28, 4719, 4940
1400/07/27, 4770, 4960
1400/07/26, 4669, 4913
1400/07/25, 4766, 5150
1400/07/24, 4880, 5019
1400/07/21, 4600, 4940
1400/07/14, 5380, 5570
1400/07/12, 5380, 5500
1400/07/11, 5350, 5560
1400/07/10, 5370, 5600
1400/07/07, 5400, 5570
1400/07/06, 5340, 5510
1400/07/04, 5160, 5450
1400/07/03, 5180, 5229
1400/06/31, 4850, 5200
1400/06/30, 5070, 5320
1400/06/29, 5240, 5460
1400/06/28, 5180, 5500
1400/06/27, 5330, 5770
1400/06/24, 5550, 5790
1400/06/23, 5600, 5820
1400/06/22, 5560, 5830
1400/06/21, 5840, 6100
1400/06/20, 6010, 6350
1400/06/17, 6070, 6340
1400/06/16, 6060, 6290
1400/06/15, 6200, 6590
1400/06/14, 6360, 6690
1400/06/13, 6440, 6750
1400/06/10, 6160, 6680
1400/06/09, 6310, 6630
1400/06/08, 6640, 6700
1400/06/07, 6880, 7290
1400/06/06, 7020, 7320
1400/06/03, 6750, 7090
1400/06/02, 6400, 6780
1400/06/01, 6350, 6540
1400/05/31, 6310, 6540
1400/05/24, 6190, 6450
1400/05/23, 6150, 6550
1400/05/20, 6250, 6510
1400/05/19, 5940, 6280
1400/05/18, 5910, 6080
1400/05/17, 5800, 6090
1400/05/16, 5950, 6140
1400/05/13, 5630, 5980
1400/05/12, 5610, 5850
1400/05/11, 5670, 5980
1400/05/10, 5800, 6100
1400/05/09, 5850, 6090
1400/05/06, 5660, 6070
1400/05/05, 5730, 6250
1400/05/04, 5810, 6050
1400/04/28, 5520, 5780
1400/04/27, 5490, 5700
1400/04/26, 5590, 5950
1400/04/23, 5740, 5990
1400/04/22, 5990, 6240
1400/04/21, 6080, 6370
1400/04/20, 5840, 6090
1400/04/19, 5620, 5910
1400/04/16, 5490, 5730
1400/04/15, 5260, 5480
1400/04/14, 5090, 5300
1400/04/13, 4980, 5300
1400/04/12, 5000, 5300
1400/04/09, 4850, 5066
1400/04/08, 4610, 4929
1400/04/07, 4602, 4788
1400/04/06, 4600, 4899
1400/04/05, 4420, 4801
1400/04/02, 4401, 4700
1400/04/01, 4320, 4531
1400/03/31, 4150, 4419
1400/03/30, 4219, 4420
1400/03/29, 4100, 4308
1400/03/26, 4030, 4190
1400/03/25, 4020, 4300
1400/03/24, 4152, 4285
1400/03/23, 4080, 4201
1400/03/22, 4155, 4380
1400/03/19, 4150, 4380
1400/03/18, 4170, 4353
1400/03/17, 4051, 4151
1400/03/12, 3660, 3971
1400/03/11, 3700, 3890
1400/03/10, 3780, 4050
1400/03/09, 3850, 4002
1400/03/08, 3812, 3812
1400/03/05, 3410, 3646
1400/03/04, 3361, 3534
1400/03/03, 3283, 3420
1400/03/02, 3408, 3578
1400/03/01, 3574, 3721
1400/02/29, 3756, 3910
1400/02/28, 3914, 4050
1400/02/27, 4066, 4340
1400/02/26, 4146, 4456
1400/02/25, 4275, 4460
1400/02/22, 4381, 4750
1400/02/21, 4390, 4620
1400/02/20, 4486, 4550
1400/02/19, 4491, 4491
1400/02/18, 4502, 4502
1400/02/15, 4550, 4550
1400/02/13, 4560, 4560
1400/02/12, 4610, 4610
1400/02/11, 4710, 4880
1400/02/08, 4820, 4960
1400/02/07, 4950, 5070
1400/02/06, 4960, 4960
1400/02/05, 4960, 4960
1400/02/04, 5050, 5050
1400/02/01, 5070, 5070
1400/01/31, 5150, 5150
1400/01/30, 5170, 5170
1400/01/29, 5220, 5220
1400/01/28, 5230, 5230
1400/01/25, 5270, 5400
1400/01/24, 5280, 5530
1400/01/23, 5300, 5300
1400/01/22, 5350, 5350
1400/01/21, 5390, 5390
1400/01/18, 5460, 5500
1400/01/17, 5530, 5750
1400/01/16, 5640, 5690
1400/01/15, 5750, 5750
1400/01/14, 5860, 5900
1400/01/11, 5960, 6150
1400/01/10, 5900, 6200
1400/01/08, 5880, 6020
1399/12/23, 8340, 8600
1399/12/19, 8440, 8600
1399/12/18, 8220, 8700
1399/12/17, 8250, 8650
